depression_weight,suicidal_weight,val_macro_f1
0.95,1.5,0.8101600744380597
1.05,1.7,0.8101338160982169
1.7,0.85,0.8101123011009916
0.7,0.9,0.810023815229567
1.65,0.8,0.8100207834899634
0.7,0.85,0.8100071989304329
0.75,1.05,0.8099958486548527
0.75,1.0,0.8099769141945887
0.75,1.15,0.8098847303568297
0.9,1.35,0.8098835373745812
0.75,1.1,0.8097822387433261
0.9,1.45,0.8096177650323129
1.5,0.7,0.8096162394715996
0.8,1.25,0.8095941435856499
1.6,0.75,0.8093974290624076
0.75,1.2,0.8092809145739199
1.65,0.75,0.8090932757823286
0.7,0.95,0.8090528014181273
0.8,1.2,0.8090081640021152
0.95,1.55,0.8089822503590589
0.7,0.8,0.8089634358248113
0.7,1.1,0.8089081744428738
0.85,1.4,0.8088127837303529
0.7,1.0,0.8087584402876327
1.55,0.7,0.808735702409029
1.0,1.7,0.8087092565101192
1.0,1.65,0.8086728798115177
0.8,1.3,0.8085911540626444
0.85,1.45,0.8084421885996091
0.95,1.6,0.8083753293866915
1.7,0.8,0.8083577703091567
0.9,1.5,0.808267427951453
0.9,1.55,0.807876665681548
0.8,1.35,0.8077761384362973
0.75,1.25,0.8076731663308325
0.95,1.65,0.8076443186732936
0.7,1.05,0.8075568370494624
0.85,1.5,0.8074960539416342
0.7,1.15,0.8074000101515326
0.9,1.6,0.8072727921645845
0.75,1.3,0.8072608909025132
0.85,1.65,0.8071805944900823
0.85,1.6,0.8071515902563323
0.9,1.7,0.8069526405598693
0.95,1.7,0.8068955741845965
0.8,1.4,0.8068722744941882
0.9,1.65,0.806729288748409
1.7,0.75,0.8067276740130751
0.75,1.45,0.8067139032805515
0.85,1.55,0.8066991609275824
0.75,1.35,0.8066410598383634
0.7,1.2,0.8065786353424691
0.8,1.5,0.8065234161338785
0.75,1.4,0.8065147816765155
0.8,1.55,0.8064997692187313
0.85,1.7,0.8064163352551078
0.7,1.35,0.8063948090322977
0.8,1.45,0.8062967126998184
1.6,0.7,0.8062695134794937
0.75,1.5,0.8061402609245216
0.7,1.25,0.8059690736102907
0.7,1.4,0.8058564883114341
0.8,1.6,0.8057552191763309
0.75,1.55,0.8057233008064765
0.7,1.3,0.8054501432196772
0.8,1.65,0.8053868876104429
0.7,1.45,0.8052540598186341
0.8,1.7,0.8050000744180663
